ENSP00000328983	PF00685-42-356
ENSP00000295589	PF10320-53-384
ENSP00000312129	PF00520-264-448
ENSP00000252675	PF00852-55-373
ENSP00000325290	IDR-1-139
ENSP00000358548	PF00025-3-162
ENSP00000360871	PF00147-115-325
ENSP00000437082	PF00704-27-365
ENSP00000319601	PF00001-41-287
ENSP00000379506	IDR-53-153
ENSP00000417451	IDR-79-229
ENSP00000382492	PF00595-977-1057
ENSP00000377275	IDR-1833-2056
ENSP00000359095	PF05185-42-338
ENSP00000438388	IDR-883-943
ENSP00000040738	IDR-394-1225
ENSP00000242208	PF00688-48-295
ENSP00000323421	PF02463-3-1209
ENSP00000379228	IDR-560-681
ENSP00000359245	P78363.1396.1603-1396-1603
ENSP00000334198	PF00520-1651-1858
ENSP00000251127	PF00520-1244-1446
ENSP00000357829	IDR-1-66
ENSP00000252804	PF03098-741-1289
ENSP00000308270	PF00001-39-288
ENSP00000417628	PF02210-1049-1177
ENSP00000360406	IDR-823-1058
ENSP00000347997	PF00627-619-652
ENSP00000270202	IDR-1-56
ENSP00000269305	PF00870-95-288
ENSP00000381636	PF00028-587-668
ENSP00000339260	PF00209-32-553
ENSP00000299853	PF04801-4-433
ENSP00000423418	PF00621-444-622
ENSP00000271915	IDR-1-103
ENSP00000357360	IDR-1-98
ENSP00000427690	PF01102-21-90
ENSP00000288602	PF07714-457-712
ENSP00000216392	PF00343-112-830
ENSP00000331789	PF00001-42-278
ENSP00000414232	PF02931-43-250
ENSP00000463982	IDR-483-735
