ENSP00000317895	IDR-66-784
ENSP00000338343	PF04790-22-283
ENSP00000325674	PF06046-188-721
ENSP00000419545	PF04548-45-252
ENSP00000328358	PF00038-141-456
ENSP00000379065	IDR-1046-1114
ENSP00000227524	PF00400-256-292
ENSP00000329654	PF00652-466-591
ENSP00000382178	PF00047-326-380
ENSP00000402608	PF02787-846-968
ENSP00000354660	PF01454-148-314
ENSP00000264318	PF02932-263-538
ENSP00000299709	PF01490-24-418
ENSP00000356436	PF01735-190-674
ENSP00000350720	PF00176-757-1050
ENSP00000303862	PF00001-28-277
ENSP00000353826	PF08298-483-542
ENSP00000293872	PF03194-5-247
ENSP00000385812	PF05091-3-521
ENSP00000314103	IDR-177-350
ENSP00000298642	PF00001-41-287
ENSP00000265022	IDR-79-141
ENSP00000387190	PF00002-140-380
ENSP00000211936	IDR-92-751
ENSP00000356634	Q9BXP8.838.1362-838-1362
ENSP00000324701	PF03281-1-359
ENSP00000346901	PF00743-2-531
ENSP00000436773	PF10344-27-473
ENSP00000363089	PF01582-676-814
ENSP00000242208	IDR-245-330
ENSP00000377245	PF01344-459-504
ENSP00000418379	IDR-256-346
ENSP00000226209	PF01576-1069-1927
ENSP00000262464	PF07645-2056-2096
ENSP00000351244	PF05296-95-369
ENSP00000244534	IDR-92-221
ENSP00000379818	PF00060-555-828
ENSP00000348812	PF07679-236-319
ENSP00000348812	PF00102-1669-1902
ENSP00000375063	P59047.592.700-592-700
ENSP00000378516	PF00001-32-281
ENSP00000363921	IDR-915-1356
ENSP00000430497	IDR-2855-2950
ENSP00000433415	PF06189-337-596
ENSP00000352904	PF06189-337-595
ENSP00000244661	IDR-1-66
ENSP00000385142	PF00054-548-693
ENSP00000255381	PF00063-89-770
ENSP00000301178	IDR-763-842
ENSP00000262873	IDR-1762-1983
ENSP00000440790	PF10320-66-339
ENSP00000369729	PF00001-43-293
ENSP00000369731	PF00001-43-293
ENSP00000350836	PF00001-40-289
ENSP00000355430	PF00001-92-340
ENSP00000384312	IDR-103-991
ENSP00000217299	PF09815-56-442
ENSP00000289672	PF02010-707-1318
ENSP00000347081	PF00638-1049-1169
ENSP00000334153	Q14699.279.388-279-388
ENSP00000377040	PF03435-483-917
ENSP00000324856	PF00069-52-309
ENSP00000444384	IDR-670-777
ENSP00000194155	PF00028-458-554
ENSP00000231130	PF00028-456-552
ENSP00000432417	PF00001-41-289
ENSP00000369742	PF10320-119-232
ENSP00000334452	PF00001-41-290
ENSP00000366506	IDR-300-352
ENSP00000334068	PF00001-41-296
ENSP00000450683	PF02210-473-617
ENSP00000357122	PF02760-212-380
ENSP00000357106	PF07654-178-251
ENSP00000347325	IDR-815-919
ENSP00000410257	PF06512-953-1215
ENSP00000340271	IDR-496-655
