ENSP00000265104	PF08393-1401-1811
ENSP00000358035	IDR-72-331
ENSP00000331907	PF07717-685-908
ENSP00000274278	PF00201-24-512
ENSP00000372689	Q8WVM7.73.156-73-156
ENSP00000378492	PF01094-60-455
ENSP00000221922	IDR-1-531
ENSP00000352882	PF08337-1311-1864
ENSP00000252999	PF02210-2971-3095
ENSP00000440296	PF02886-248-484
ENSP00000326804	PF00888-21-660
ENSP00000354826	IDR-1-659
ENSP00000459043	IDR-174-413
ENSP00000320246	PF00999-30-486
ENSP00000360786	PF10320-94-398
ENSP00000359085	PF00055-69-295
ENSP00000306968	IDR-131-384
ENSP00000369003	PF08344-176-238
ENSP00000374620	PF00067-34-493
ENSP00000246115	PF00001-63-307
ENSP00000397026	PF01094-54-393
ENSP00000268919	PF00225-219-542
ENSP00000305556	PF00013-99-162
ENSP00000300119	PF06017-847-1042
ENSP00000275198	PF00001-49-311
ENSP00000363512	PF00305-152-665
ENSP00000464231	PF00153-2-85
ENSP00000242804	IDR-226-627
ENSP00000327718	PF01284-18-147
ENSP00000347428	PF00001-40-289
ENSP00000365005	PF00069-1061-1324
ENSP00000264162	PF00232-379-847
ENSP00000348496	Q8TC36.47.231-47-231
ENSP00000248076	PF10320-90-352
ENSP00000301532	PF00001-43-292
ENSP00000433295	IDR-1-71
ENSP00000434515	PF07690-79-452
ENSP00000357206	IDR-500-1070
ENSP00000430271	IDR-69-123
ENSP00000311816	IDR-68-655
ENSP00000386609	Q562E7.165.385-1216-1436
ENSP00000282478	IDR-43-1301
