ENSP00000317895	IDR-66-784
ENSP00000329793	IDR-78-595
ENSP00000261560	IDR-127-570
ENSP00000257910	PF00335-8-194
ENSP00000444076	PF00063-22-688
ENSP00000238651	PF08840-266-473
ENSP00000318982	IDR-1-213
ENSP00000366582	IDR-211-392
ENSP00000462985	PF07690-32-437
ENSP00000265164	PF00656-45-288
ENSP00000363643	PF00001-53-306
ENSP00000382982	PF00091-3-225
ENSP00000268919	PF00225-219-542
ENSP00000451360	IDR-1642-1696
ENSP00000440703	PF06409-524-575
ENSP00000240423	PF05786-49-739
ENSP00000412752	PF00001-39-285
ENSP00000254488	PF00209-50-575
ENSP00000331288	Q86WV6.110.331-110-331
ENSP00000403208	IDR-815-919
ENSP00000394524	PF04388-3-719
