ENSP00000328083	PF00621-35-212
ENSP00000240079	PF10152-30-168
ENSP00000302455	IDR-98-320
ENSP00000399806	PF00209-60-582
ENSP00000367655	Q86WI1.2304.2488-2304-2488
ENSP00000320246	PF00999-30-486
ENSP00000349052	PF10188-17-200
ENSP00000251269	IDR-210-580
ENSP00000337510	Q9UH90.382.551-382-551
ENSP00000467883	PF01602-17-532
ENSP00000441417	PF00884-63-549
ENSP00000362399	PF00995-28-582
ENSP00000313504	PF00723-48-878
ENSP00000264381	PF00135-11-550
ENSP00000418767	IDR-35-73
ENSP00000343674	PF01400-103-282
ENSP00000375236	PF01500-4-74
ENSP00000421339	PF03137-106-665
ENSP00000385995	Q6YHU6.1.568-1-568
ENSP00000254260	PF02185-39-103
ENSP00000402152	PF00324-141-646
